I (41122) j1850: 28 1B 10 02 15 C4 41 | CRC OK
I (41153) j1850: 68 88 10 03 44 | CRC OK
I (41160) j1850: C8 88 10 0E BA | CRC OK
I (41166) j1850: C8 89 60 03 9F | CRC OK
I (41186) j1850: 28 1B 10 02 15 5C 42 | CRC OK
I (41192) j1850: E8 89 60 0E 54 | CRC OK
I (41253) j1850: 28 1B 10 02 15 80 26 | CRC OK
I (41319) j1850: 28 1B 10 02 16 30 9E | CRC OK
I (41367) j1850: A8 3B 10 03 00 00 | CRC OK
I (41367) j1850: load: raw=0x00 (A8 3B 10 param; not gear)
I (41384) j1850: 28 1B 10 02 16 24 27 | CRC OK
I (41450) j1850: 28 1B 10 02 15 E0 B2 | CRC OK
I (41515) j1850: 28 1B 10 02 15 C4 41 | CRC OK
I (41558) j1850: 68 FF 40 03 D8 | CRC OK
I (41581) j1850: 28 1B 10 02 15 5C 42 | CRC OK
I (41634) j1850: 68 FF 60 03 AD | CRC OK
I (41646) j1850: 28 1B 10 02 15 B4 18 | CRC OK
I (41712) j1850: 28 1B 10 02 15 BC F0 | CRC OK
I (41729) j1850: A8 83 10 0A 00 8C 79 | CRC OK
I (41778) j1850: 28 1B 10 02 15 B0 6C | CRC OK
I (41826) j1850: A8 49 10 10 57 31 | CRC OK
I (41826) j1850: temp: raw=0x57 (87) -> 47 C (raw-40, ride-1 confirmed)
I (41843) j1850: 28 1B 10 02 16 10 19 | CRC OK
I (41859) j1850: A8 3B 10 03 00 00 | CRC OK
I (41859) j1850: load: raw=0x00 (A8 3B 10 param; not gear)
I (41909) j1850: 28 1B 10 02 15 B0 6C | CRC OK
I (42040) j1850: 28 1B 10 02 14 BC BC | CRC OK
I (42105) j1850: 28 1B 10 02 15 3C D6 | CRC OK
I (42153) j1850: 68 FF 10 03 86 | CRC OK
I (42161) j1850: 68 88 10 03 44 | CRC OK
I (42171) j1850: 28 1B 10 02 15 B0 6C | CRC OK
I (42177) j1850: C8 88 10 0E BA | CRC OK
I (42183) j1850: C8 89 60 03 9F | CRC OK
I (42207) j1850: E8 89 60 0E 54 | CRC OK
I (42236) j1850: 28 1B 10 02 15 90 EB | CRC OK
